"","ApplNo","text","section"
"537","209105","Atovaquone is a quinone antimicrobial drug 


[see 


Microbiology (12.4)]


.


","MECHANISM OF ACTION SECTION"
"540","209105","Plasma atovaquone concentrations do not increase proportionally with dose following ascending repeat-dose administration of atovaquone oral suspension in healthy subjects. When atovaquone oral suspension was administered with food at dosage regimens of 500 mg once daily, 750 mg once daily, and 1,000 mg once daily, mean (±SD) steady-state plasma atovaquone concentrations were 11.7 ± 4.8, 12.5 ± 5.8, and 13.5 ± 5.1 mcg/mL, respectively. The corresponding mean (±SD) C


max concentrations were 15.1 ± 6.1, 15.3 ± 7.6, and 16.8 ± 6.4 mcg/mL.


","PHARMACOKINETICS SECTION"
"560","209105","Carcinogenicity studies in rats were negative; 24-month studies in mice (dosed with 50, 100, or 200 mg/kg/day), showed treatment-related increases in incidence of hepatocellular adenoma and hepatocellular carcinoma at all doses tested, which correlated with 1.4 to 3.6 times the average steady-state plasma concentrations in humans during acute treatment of PCP. Atovaquone was negative with or without metabolic activation in the Ames 


Salmonella mutagenicity assay, the mouse lymphoma mutagenesis assay, and the cultured human lymphocyte cytogenetic assay. No evidence of genotoxicity was observed in the in vivo mouse micronucleus assay.


","CARCINOGENESIS & MUTAGENESIS & IMPAIRMENT OF FERTILITY SECTION"
"568","209105","Atovaquone oral suspension USP, (yellow colored) containing 750 mg atovaquone in 5 mL is supplied in the following:NDC 0121-0888-05:5 mL unit dose cupNDC 0121-0888-18:Case contains 18 unit-dose cups of 5 mL (NDC 0121-0888-05).NDC 0121-0888-42:Case contains 42 unit-dose cups of 5 mL (NDC 0121-0888-05).","HOW SUPPLIED SECTION"
"569","209105","Store at 20° to 25ºC (68° to 77ºF).DO NOT FREEZE. Dispense in a tight container as defined in USP.","STORAGE AND HANDLING SECTION"
"573","209105","Delivers 5 mL


NDC 0121-0888-05


ATOVAQUONE


ORAL SUSPENSION USP


750 mg/5 mLSHAKE GENTLY BEFORE USING.Rx ONLY


FOR INSTITUTIONAL USE ONLY


Pkg. by: Pharmaceutical Associates, Inc.


Greenville, SC 29605


SEE INSERT


A0888050120","PACKAGE LABEL.PRINCIPAL DISPLAY PANEL"
"574","213342","Hydroxychloroquine sulfate USP is a white or practically white, crystalline powder, freely soluble in water; practically insoluble in alcohol, chloroform, and in ether. The chemical name for hydroxychloroquine sulfate is 2-[[4-[(7-Chloro-4-quinolyl)amino]pentyl]ethylamino] ethanol sulfate (1:1). Its structural formula is:The molecular weight of hydroxychloroquine sulfate is 433.95, and molecular formula is C


18H


26ClN


3O.H


2SO


4.


Hydroxychloroquine sulfate tablets, USP contain 200 mg hydroxychloroquine sulfate, equivalent to 155 mg base, and are for oral administration.Inactive Ingredients: Lactose monohydrate, maize starch, magnesium stearate, povidone K30, polyethylene glycol, polyvinyl alcohol, talc, and titanium dioxide.


","DESCRIPTION SECTION"
"575","213342","","CLINICAL PHARMACOLOGY SECTION"
"576","213342","Pharmacokinetics: Following a single 200 mg oral dose of hydroxychloroquine sulfate tablets to healthy males, the mean peak blood concentration of hydroxychloroquine was 129.6 ng/mL, reached in 3.26 hours with a half-life of 537 hours (22.4 days). In the same study, the plasma peak concentration was 50.3 ng/mL reached in 3.74 hours with a half-life of 2963 hours (123.5 days). Urine hydroxychloroquine levels were still detectable after 3 months with approximately 10% of the dose excreted as the parent drug. Results following a single dose of a 200 mg tablet versus i.v. infusion (155 mg), demonstrated a half-life of about 40 days and a large volume of distribution. Peak blood concentrations of metabolites were observed at the same time as peak levels of hydroxycholoquine. The mean fraction of the dose absorbed was 0.74. After administration of single 155 mg and 310 mg intravenous doses, peak blood concentrations ranged from 1161 ng/mL to 2436 ng/mL (mean 1918 ng/mL) following the 155 mg infusion and 6 months following the 310 mg infusion. Pharmacokinetic parameters were not significantly different over the therapeutic dose range of 155 mg and 310 mg indicating linear kinetics.


Following chronic oral administration of hydroxychloroquine, significant levels of three metabolites, desethylhydroxychloroquine (DHCQ), desethylchloroquine (DCQ), and bidesethylhydroxychloroquine (BDCQ) have been found in plasma and blood, with DHCQ being the major metabolite. The absorption half-life was approximately 3 to 4 hours and the terminal half-life ranged from 40 to 50 days. The long half-life can be attributed to extensive tissue uptake rather than through decreased excretion. Peak plasma levels of hydroxychloroquine were seen in about 3 to 4 hours. Renal clearance in rheumatoid arthritis (RA) patients taking hydroxychloroquine sulfate for at least six months seemed to be similar to that of the single dose studies in volunteers, suggesting that no change occurs with chronic dosing. Range for renal clearance of unchanged drug was approximately 16 to 30% and did not correlate with creatinine clearance; therefore, a dosage adjustment is not required for patients with renal impairment. In RA patients, there was large variability as to the fraction of the dose absorbed (i.e. 30 to 100%), and mean hydroxychloroquine levels were significantly higher in patients with less disease activity. Cellular levels of patients on daily hydroxychloroquine have been shown to be higher in mononuclear cells than polymorphonuclear leucocytes.","PHARMACOKINETICS SECTION"
"577","213342","","MICROBIOLOGY SECTION"
"578","213342","
Mechanism of action:
The precise mechanism by which hydroxychloroquine exhibits activity against 


Plasmodium is not known. Hydroxychloroquine, like chloroquine, is a weak base and may exert its effect by concentrating in the acid vesicles of the parasite and by inhibiting polymerization of heme. It can also inhibit certain enzymes by its interaction with DNA.


Mechanism of action: The mechanisms underlying the anti-inflammatory and immunomodulatory effects of hydroxychloroquine sulfate are unknown.


","MECHANISM OF ACTION SECTION"
"579","213342","
Activity in vitro and in Clinical Infections:
Hydroxychloroquine is active against the erythrocytic forms of chloroquine sensitive strains of 


Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, and 


Plasmodium vivax. Hydroxychloroquine is not active against the gametocytes and exoerythrocytic forms including the hypnozoite stage (


P. vivax and 


P. ovale) of the 


Plasmodium parasites.


Drug Resistance: 


P. falciparum strains exhibiting reduced susceptibility to chloroquine also show reduced susceptibility to hydroxychloroquine.


Resistance of 


Plasmodium parasites to chloroquine is widespread (see 



INDICATIONS AND USAGE – Malaria).


Patients in whom chloroquine or hydroxychloroquine have failed to prevent or cure clinical malaria or parasitemia, or patients who acquired malaria in a geographic area where chloroquine resistance is known to occur should be treated with another form of antimalarial therapy (see 



INDICATIONS AND USAGE – Malaria and



WARNINGS).


Hydroxychloroquine sulfate is indicated for the treatment of uncomplicated malaria due to 


P. falciparum, P. malariae, P. ovale, and 


P. vivax.


Hydroxychloroquine sulfate is indicated for the prophylaxis of malaria in geographic areas where chloroquine resistance is not reported.Limitations of Use in Malaria• Hydroxychloroquine sulfate is not recommended for the treatment of complicated malaria.


• Hydroxychloroquine sulfate is not effective against chloroquine or hydroxychloroquine-resistant strains of 


Plasmodium species (see 


CLINICAL PHARMACOLOGY – Microbiology). Hydroxychloroquine sulfate is not recommended for the treatment of malaria acquired in geographic areas where chloroquine resistance occurs or when the 


Plasmodium species has not been identified.


• Hydroxychloroquine sulfate is not recommended for malaria prophylaxis in geographic areas where chloroquine resistance occurs.


• Hydroxychloroquine sulfate does not prevent relapses of 


P. vivax or 


P. ovale because it is not active against the hypnozoite forms of these parasites. For radical cure of 


P. vivax and 


P. ovale infections, concomitant therapy with an 8-aminoquinoline compound is necessary (see 


CLINICAL PHARMACOLOGY – Microbiology).


Prior to prescribing hydroxychloroquine sulfate for the treatment or prophylaxis of malaria, consult the Centers for Disease Control and Prevention (CDC) Malaria website (http://www.cdc.gov/malaria).Hydroxychloroquine sulfate is indicated for the treatment of chronic discoid lupus erythematosus and systemic lupus erythematosus in adults.Hydroxychloroquine sulfate is indicated for the treatment of acute and chronic rheumatoid arthritis in adults.ProphylaxisAdults: 400 mg (310 mg base) once weekly on the same day of each week starting 2 weeks prior to exposure, and continued for 4 weeks after leaving the endemic area.


Weight-based dosing in adults and pediatric patients: 6.5 mg/kg (5 mg/kg base), not to exceed 400 mg (310 mg base), once weekly on the same day of the week starting 2 weeks prior to exposure, and continued for 4 weeks after leaving the endemic area.


Treatment of Uncomplicated MalariaAdults: 800 mg (620 mg base) followed by 400 mg (310 mg base) at 6 hours, 24 hours and 48 hours after the initial dose (total 2000 mg hydroxychloroquine sulfate or 1550 mg base).


Weight based dosage in adults and pediatric patients: 13 mg/kg (10 mg/kg base), not to exceed 800 mg (620 mg base) followed by 6.5 mg/kg (5 mg/kg base), not to exceed 400 mg (310 mg base), at 6 hours, 24 hours and 48 hours after the initial dose. Hydroxychloroquine sulfate film-coated tablets cannot be divided, therefore they should not be used to treat patients who weigh less than 31 kg.


For radical cure of 


P. vivax and 


P. malariae infections, concomitant therapy with an 8-aminoquinoline compound is necessary.


The recommended adult dosage is 200 to 400 mg (155 to 310 mg base) daily, administered as a single daily dose or in two divided doses. Doses above 400 mg a day are not recommended.The incidence of retinopathy has been reported to be higher when this maintenance dose is exceeded.The action of hydroxychloroquine is cumulative and may require weeks to months to achieve the maximum therapeutic effect (see 


CLINICAL PHARMACOLOGY).


Initial adult dosage: 400 mg to 600 mg (310 to 465 mg base) daily, administered as a single daily dose or in two divided doses. In a small percentage of patients, side effects may require temporary reduction of the initial dosage.


Maintenance adult dosage: When a good response is obtained, the dosage may be reduced by 50 percent and continued at a maintenance level of 200 mg to 400 mg (155 to 310 mg base) daily, administered as a single daily dose or in two divided doses.


Do not exceed 600 mg or 6.5 mg/kg (5 mg/kg base) per day, whichever is lower, as the incidence of retinopathy has been reported to be higher when this maintenance dose is exceeded.Corticosteroids and salicylates may be used in conjunction with hydroxychloroquine sulfate, and they can generally be decreased gradually in dosage or eliminated after a maintenance dose of hydroxychloroquine sulfate has been achieved.","SPL UNCLASSIFIED SECTION"
"582","213342","","INDICATIONS & USAGE SECTION"
"586","213342","Use of hydroxychloroquine sulfate is contraindicated in patients with known hypersensitivity to 4-aminoquinoline compounds.","CONTRAINDICATIONS SECTION"
"587","213342","Resistant strains of malaria: Hydroxychloroquine sulfate is not effective against chloroquine-resistant strains of 


P. falciparum (see 



CLINICAL PHARMACOLOGY – Microbiology).


Ocular: Irreversible retinal damage has been observed in some patients who had received hydroxychloroquine sulfate. Significant risk factors for retinal damage include daily doses of hydroxychloroquine sulfate greater than 6.5 mg/kg (5 mg/kg base) of actual body weight, durations of use greater than five years, subnormal glomerular filtration, use of some concomitant drug products such as tamoxifen citrate and concurrent macular disease.


A baseline ocular examination is recommended within the first year of starting hydroxychloroquine sulfate. The baseline exam should include: best corrected distance visual acuity (BCVA), an automated threshold visual field (VF) of the central 10 degrees (with retesting if an abnormality is noted), and spectral domain ocular coherence tomography (SD-OCT).For individuals with significant risk factors (daily dose of hydroxychloroquine sulfate greater than 5.0 mg/kg base of actual body weight, subnormal glomerular filtration, use of tamoxifen citrate or concurrent macular disease) monitoring should include annual examinations which include BCVA, VF and SD-OCT. For individuals without significant risk factors, annual exams can usually be deferred until five years of treatment.In individuals of Asian descent, retinal toxicity may first be noticed outside the macula. In patients of Asian descent, it is recommended that visual field testing be performed in the central 24 degrees instead of the central 10 degrees.It is recommended that hydroxychloroquine be discontinued if ocular toxicity is suspected and the patient should be closely observed given that retinal changes (and visual disturbances) may progress even after cessation of therapy.Cardiac Effects, including Cardiomyopathy and QT prolongation: Postmarketing cases of life-threatening and fatal cardiomyopathy have been reported with use of hydroxychloroquine sulfate as well as with use of chloroquine. Patients may present with atrioventricular block, pulmonary hypertension, sick sinus syndrome or with cardiac complications. ECG findings may include atrioventricular, right or left bundle branch block. Signs or symptoms of cardiac compromise have appeared during acute and chronic treatment. Clinical monitoring for signs and symptoms of cardiomyopathy is advised, including use of appropriate diagnostic tools such as ECG to monitor patients for cardiomyopathy during hydroxychloroquine sulfate therapy. Chronic toxicity should be considered when conduction disorders (bundle branch block/atrio-ventricular heart block) or biventricular hypertrophy are diagnosed. If cardiotoxicity is suspected, prompt discontinuation of hydroxychloroquine sulfate may prevent life-threatening complications.


Hydroxychloroquine sulfate prolongs the QT interval. Ventricular arrhythmias and torsades de pointes have been reported in patients taking hydroxychloroquine sulfate (see 


OVERDOSAGE). Therefore, hydroxychloroquine sulfate should not be administered with other drugs that have the potential to prolong the QT interval (see 


DRUG INTERACTIONS).


Worsening of psoriasis and porphyria: Use of hydroxychloroquine sulfate in patients with psoriasis may precipitate a severe attack of psoriasis. When used in patients with porphyria the condition may be exacerbated. The preparation should not be used in these conditions unless in the judgment of the physician the benefit to the patient outweighs the possible hazard.


Proximal Myopathy and Neuropathy: Skeletal muscle myopathy or neuropathy leading to progressive weakness and atrophy of proximal muscle groups, depressed tendon reflexes, and abnormal nerve conduction, have been reported. Muscle and nerve biopsies have been associated with curvilinear bodies and muscle fiber atrophy with vacuolar changes. Assess muscle strength and deep tendon reflexes periodically in patients on long-term therapy with hydroxychloroquine sulfate.


Neuropsychiatric events, including suicidality: Suicidal behavior has been rarely reported in patients treated with hydroxychloroquine sulfate.


Hypoglycemia: Hydroxychloroquine sulfate has been shown to cause severe hypoglycemia including loss of consciousness that could be life threatening in patients treated with or without antidiabetic medications (see 


DRUG INTERACTIONS and 


ADVERSE REACTIONS). Patients treated with hydroxychloroquine sulfate should be warned about the risk of hypoglycemia and the associated clinical signs and symptoms. Patients presenting with clinical symptoms suggestive of hypoglycemia during treatment with hydroxychloroquine sulfate should have their blood glucose checked and treatment reviewed as necessary.


","WARNINGS SECTION"
"588","213342","General: Use with caution in patients with gastrointestinal, neurological, or blood disorders, and in those with a sensitivity to quinine.Hepatic/Renal Disease: Antimalarial compounds should be used with caution in patients with hepatic disease or alcoholism, or in conjunction with known hepatotoxic drugs. A reduction in dosage may be necessary in patients with hepatic or renal disease, as well as in those taking medicines known to affect these organs.


Hematologic Effects/Laboratory Tests: Antimalarial compounds should be used with caution in patients with hepatic disease or alcoholism or in conjunction with known hepatotoxic drugs. Periodic blood cell counts should be performed if patients are given prolonged therapy. If any severe blood disorder such as aplastic anemia, agranulocytosis, leukopenia, or thrombocytopenia, appears which is not attributable to the disease under treatment, consider discontinuation of hydroxychloroquine sulfate.


Hydroxychloroquine sulfate should be administered with caution in patients having glucose-6-phosphate dehydrogenase (G-6-PD) deficiency.Dermatologic Effects: Dermatologic reactions to hydroxychloroquine sulfate may occur and, therefore, proper care should be exercised when it is administered to any patient receiving a drug with a significant tendency to produce dermatitis.


","PRECAUTIONS SECTION"
"589","213342","Digoxin: Concomitant hydroxychloroquine sulfate and digoxin therapy may result in increased serum digoxin levels: serum digoxin levels should be closely monitored in patients receiving combined therapy.


Insulin or antidiabetic drugs: As hydroxychloroquine sulfate may enhance the effects of a hypoglycemic treatment, a decrease in doses of insulin or antidiabetic drugs may be required.


Drugs that prolong QT interval and other arrhythmogenic drugs: Hydroxychloroquine sulfate prolongs the QT interval and should not be administered with other drugs that have the potential to induce cardiac arrhythmias. Also, there may be an increased risk of inducing ventricular arrhythmias if hydroxychloroquine sulfate is used concomitantly with other arrhythmogenic drugs.


Mefloquine and other drugs known to lower the convulsive threshold: Hydroxychloroquine sulfate can lower the convulsive threshold. Co-administration of hydroxychloroquine sulfate with other antimalarials known to lower the convulsion threshold (e.g., mefloquine) may increase the risk of convulsions.


Antiepileptics: The activity of antiepileptic drugs might be impaired if co-administered with hydroxychloroquine sulfate.


Methotrexate: Combined use of methotrexate with hydroxychloroquine sulfate has not been studied and may increase the incidence of adverse effects.


Cyclosporin: An increased plasma cyclosporin level was reported when cyclosporin and hydroxychloroquine sulfate were co-administered.


The following interactions have been observed on treatment with the structurally related substance chloroquine phosphate, and therefore cannot be ruled out for hydroxychloroquine.Praziquantel: Chloroquine has been reported to reduce the bioavailability of praziquantel.


Antacids and kaolin: Antacids and kaolin can reduce absorption of chloroquine; an interval of at least 4 hours between intake of these agents and chloroquine should be observed.


Cimetidine: Cimetidine can inhibit the metabolism of chloroquine, increasing its plasma level. Concomitant use of cimetidine should be avoided.


Ampicillin: In a study of healthy volunteers, chloroquine significantly reduced the bioavailability of ampicillin.


","DRUG INTERACTIONS SECTION"
"590","213342","Information for Patients: Patients should be informed of the early signs and symptoms of toxicity such as rash or visual changes. Patients must see their physicians promptly in case of the appearance of these or of any unusual effects. Periodic laboratory tests may be recommended in some patients. Patients should be fully informed of the potential risks of the use of hydroxychloroquine sulfate, especially in pregnancy and in children.


","INFORMATION FOR PATIENTS SECTION"
"591","213342","Carcinogenesis, mutagenesis, impairment of fertility:Long-term studies in animals have not been conducted to evaluate the carcinogenic potential of hydroxychloroquine sulfate.


The mutagenic potential of hydroxychloroquine was not evaluated. However, chloroquine has been shown to be a catalytic inhibitor of DNA repair enzymes (topoisomerase II) and to produce weak genotoxic effects through this mode of action.","CARCINOGENESIS & MUTAGENESIS & IMPAIRMENT OF FERTILITY SECTION"
"592","213342","","USE IN SPECIFIC POPULATIONS SECTION"
"593","213342","Teratogenic Effects: Human pregnancies resulting in live births have been reported in the literature and no increase in the rate of birth defects has been demonstrated. Embryonic deaths and malformations of anophthalmia and microphthalmia in the offspring have been reported when pregnant rats received large doses of chloroquine.


","PREGNANCY SECTION"
"594","213342","Nursing Mothers: Caution should be exercised when administering hydroxychloroquine sulfate to nursing women. It has been demonstrated that hydroxychloroquine administered to nursing women is excreted in human milk and it is known that infants are extremely sensitive to the toxic effects of 4-aminoquinolines.


","NURSING MOTHERS SECTION"
"595","213342","Pediatric Use: Safety and efficacy have not been established in the chronic use of hydroxychloroquine sulfate for systemic lupus erythematosus and juvenile idiopathic arthritis in children. Children are especially sensitive to the 4-aminoquinoline compounds. Most reported fatalities followed the accidental ingestion of chloroquine, sometimes in small doses (0.75 g or 1 g in one 3-year-old child). Patients should be strongly warned to keep these drugs out of the reach of children (see 



OVERDOSAGE).


","PEDIATRIC USE SECTION"
"596","213342","Geriatric Use: Clinical studies of hydroxychloroquine sulfate did not include sufficient numbers of subjects aged 65 and over to determine whether they respond differently from younger subjects. However, this drug is known to be substantially excreted by the kidney, and the risk of toxic reactions to this drug may be greater in patients with impaired renal function. Because elderly patients are more likely to have decreased renal function, care should be taken in dose selection and it may be useful to monitor renal function.


","GERIATRIC USE SECTION"
"597","213342","The following adverse reactions have been identified during post-approval use of hydroxychloroquine sulfate or other 4-aminoqunoline compounds. Because these reactions are reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure.Blood and lymphatic system disorders: Bone marrow failure, anemia, aplastic anemia, agranulocytosis, leukopenia, and thrombocytopenia. Hemolysis reported in individuals with glucose-6-phosphate dehydrogenase (G-6-PD) deficiency.


Cardiac disorders: Cardiomyopathy which may result in cardiac failure and in some cases a fatal outcome (see 


WARNINGS and 


OVERDOSAGE). Hydroxychloroquine sulfate prolongs the QT interval. Ventricular arrhythmias and torsade de pointes have been reported in patients taking hydroxychloroquine sulfate (see 


OVERDOSAGE and 


DRUG INTERACTIONS).


Ear and labyrinth disorders: Vertigo, tinnitus, nystagmus, nerve deafness, deafness.


Eye disorders: Irreversible retinopathy with retinal pigmentation changes (bull’s eye appearance), visual field defects (paracentral scotomas) and visual disturbances (visual acuity), maculopathies (macular degeneration), decreased dark adaptation, color vision abnormalities, corneal changes (edema and opacities) including corneal deposition of drug with or without accompanying symptoms (halo around lights, photophobia, blurred vision).


Gastrointestinal disorders: Nausea, vomiting, diarrhea, and abdominal pain.


General disorders and administration site conditions: Fatigue.


Hepatobiliary disorders: Liver function tests abnormal, hepatic failure acute.


Immune system disorders: Urticaria, angioedema, bronchospasm


Metabolism and nutrition disorders: Decreased appetite, hypoglycemia, porphyria, weight decreased.


Musculoskeletal and connective tissue disorders: Sensorimotor disorder, skeletal muscle myopathy or neuromyopathy leading to progressive weakness and atrophy of proximal muscle groups, depression of tendon reflexes and abnormal nerve conduction.


Nervous system disorders: Headache, dizziness, seizure, ataxia and extrapyramidal disorders such as dystonia, dyskinesia, and tremor have been reported with this class of drugs.


Psychiatric disorders: Affect/emotional lability, nervousness, irritability, nightmares, psychosis, suicidal behavior.


Skin and subcutaneous tissue disorders: Rash, pruritus, pigmentation disorders in skin and mucous membranes, hair color changes, alopecia. Dermatitis bullous eruptions including erythema multiforme, Stevens-Johnson syndrome, and toxic epidermal necrolysis, drug reaction with eosinophilia and systemic symptoms (DRESS syndrome), photosensitivity, dermatitis exfoliative, acute generalized exanthematous pustulosis (AGEP). AGEP has to be distinguished from psoriasis, although hydroxychloroquine sulfate may precipitate attacks of psoriasis. It may be associated with pyrexia and hyperleukocytosis.


To report SUSPECTED ADVERSE REACTIONS, contact Accord Healthcare Inc. at 1-866-941-7875 or FDA at 1-800-FDA-1088 or 


www.fda.gov/medwatch
","ADVERSE REACTIONS SECTION"
"598","213342","The 4-aminoquinoline compounds are very rapidly and completely absorbed after ingestion, and in accidental overdosage, or rarely with lower doses in hypersensitive patients, toxic symptoms may occur within 30 minutes. The symptoms of overdosage may include headache, drowsiness, visual disturbances, cardiovascular collapse, convulsions, hypokalemia, rhythm and conduction disorders including QT prolongation, torsades de pointes, ventricular tachycardia and ventricular fibrillation, followed by sudden potentially fatal respiratory and cardiac arrest. Treatment is symptomatic and must be prompt. Immediate gastric lavage until the stomach is completely emptied is indicated. After lavage, activated charcoal is introduced by the stomach tube within 30 minutes of ingestion of the drug may inhibit further intestinal absorption. To be effective, the dose of activated charcoal should be at least five times the estimated dose of hydroxychloroquine ingested.Consideration should be given to administering diazepam parenterally since studies suggest that it may be beneficial in reversing chloroquine and hydroxychloroquine cardiotoxicity.Respiratory support and shock management should be instituted as necessary.Exchange transfusions are used to reduce the level of 4-aminoquinoline drug in the blood.A patient who survives the acute phase and is asymptomatic should be closely observed for at least six hours. Fluids may be forced and sufficient ammonium chloride (8 g daily in divided doses for adults) may be administered for a few days to acidify the urine. This will promote urinary excretion in cases of both overdosage and sensitivity. However, caution must be exercised in patients with impaired renal function and/or metabolic acidosis.","OVERDOSAGE SECTION"
"599","213342","One hydroxychloroquine sulfate tablet contains 200 mg of hydroxychloroquine sulfate, which is equivalent to 155 mg base.Take hydroxychloroquine sulfate tablets with a meal or a glass of milk.","DOSAGE & ADMINISTRATION SECTION"
"603","213342","Hydroxychloroquine sulfate tablets, USP are white to off white, peanut shaped, biconvex, film coated tablet debossed with""H11"" on one side and plain on the other side.



Blistercards of 30 tablets (NDC 0615-8401-39).


Do not crush or divide hydroxychloroquine sulfate film-coated tablets (see 


DOSAGE AND ADMINISTRATION).


Dispense in a tight, light-resistant container as defined in the USP/NF. Keep out of the reach of children.Store at room temperature [20°C to 25°C (68°F to 77°F), allows excursions between 15°C and 30°C (59°F and 86°F)].Manufactured For:Accord Healthcare, Inc.,


1009 Slater Road,


Suite 210-B, Durham,NC 27703,
					


USA



Manufactured By:Intas Pharmaceuticals Limited,



Plot No. : 457, 458,



Village – Matoda,



Bavla Road, Ta.- Sanand,



Dist.- Ahmedabad – 382 210,



INDIA.





10 3313 0 689646




Issued September 2019



","HOW SUPPLIED SECTION"
"604","213342","","PACKAGE LABEL.PRINCIPAL DISPLAY PANEL"
"605","090612","Chloroquine phosphate tablets, chloroquine phosphate, USP, is a 4-aminoquinoline compound for oral administration. It is a white, odorless, bitter tasting, crystalline substance, freely soluble inwater.Chloroquine phosphate tablets are an antimalarial and amebicidal drug.Chemically, it is 7-chloro-4-[[4-(diethylamino)-1-methylbutyl]amino]quinoline phosphate (1:2) andhas the following structural formula:C18H26ClN3.2H3PO4                        Molecular Weight: 515.87Each tablet contains 500 mg of chloroquine phosphate USP, equivalent to 300 mg chloroquine base.Inactive Ingredients: colloidal silicon dioxide, dibasic calcium phosphate, hydroxypropylmethylcellulose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate80, pregelatinized starch, sodium starch glycolate and titanium dioxide.","DESCRIPTION SECTION"
"606","090612","Chloroquine is rapidly and almost completely absorbed from the gastrointestinal tract, and only a small proportion of the administered dose is found in the stools. Approximately 55% of the drug inthe plasma is bound to nondiffusible plasma constituents. Excretion of chloroquine is quite slow,but is increased by acidification of the urine. Chloroquine is deposited in the tissues in considerable amounts. In animals, from 200 to 700 times the plasma concentration may be found in the liver,spleen, kidney, and lung; leukocytes also concentrate the drug. The brain and spinal cord, in contrast, contain only 10 to 30 times the amount present in plasma.Chloroquine undergoes appreciable degradation in the body. The main metabolite is desethylchloroquine, which accounts for one fourth of the total material appearing in the urine;bisdesethylchloroquine, a carboxylic acid derivative, and other metabolic products as yet uncharacterized are found in small amounts. Slightly more than half of the urinary drug products can be accounted for as unchanged chloroquine.","CLINICAL PHARMACOLOGY SECTION"
"607","090612","Mechanism of Action: Chloroquine, a 4-aminoquinoline, is an anti-protozoal agent. The precise mechanism by which chloroquine exhibits activity is not known. Chloroquine, may exert its effect against Plasmodium species by concentrating in the acid vesicles of the parasite and by inhibiting polymerization of heme. It can also inhibit certain enzymes by its interaction with DNA. Activity in Vitro and in Clinical Infections: Chloroquine is active against the erythrocytic forms of susceptible strains of Plasmodium falciparum, Plasmodium malariae, Plasmodium ovale, and Plasmodium vivax. Chloroquine is not active against the gametocytes and the exoerythrocytic forms including the hypnozoite stage (P. vivax and P. ovale) of the Plasmodium parasites. In vitro studies with Chloroquine demonstrated that it is active against the trophozoites of Entamoeba histolytica.
Drug Resistance: Resistance of Plasmodium parasites to chloroquine is widespread (see INDICATIONS AND USAGE, Limitations of Use in Malaria and WARNINGS).
Plasmodium parasites exhibiting reduced susceptibility to hydroxychloroquine also show reduced susceptibility to chloroquine. Patients in whom chloroquine or hydroxychloroquine have failed to prevent or cure clinical malaria or parasitemia, or patients who acquired malaria in a geographic area where chloroquine resistance is known to occur should be treated with another form of antimalarial therapy (see WARNINGS and INDICATIONS AND USAGE, Limitations of Use).","MECHANISM OF ACTION SECTION"
"608","090612","Chloroquine phosphate tablets are indicated for the: Treatment of uncomplicated malaria due to susceptible strains of P. falciparum, P.malariae, P. ovale, and P.vivax.Prophylaxis of malaria in geographic areas where resistance to chloroquine is not present.Treatment of extraintestinal amebiasis. Chloroquine phosphate tablets do not prevent relapses in patients with vivax or ovale malaria because it is not effective against exoerythrocytic forms of the parasites.Limitations of Use in Malaria:Do not use chloroquine phosphate tablets for the treatment of complicated malaria (high-grade parasitemia and/or complications e.g., cerebral malaria or acute renal failure).Do not use chloroquine phosphate tablets for malaria prophylaxis in areas where chloroquine resistance occurs, Resistance to chloroquine phosphate tablets is widespread in P. falciparum, and is reported in P.vivax (see WARNINGS).Concomitant therapy with an 8-aminoquinoline drug is necessary for treatment of the hypnozoite liver stage forms of P.vivax and P.ovale (see DOSAGE AND ADMINISTRATION).","INDICATIONS & USAGE SECTION"
"609","090612","Use of chloroquine phosphate tablets for indications other than acute malaria is contraindicated in the presence of retinal or visual field changes of any etiology. Use of chloroquine phosphate tablets is contraindicated in patients with known hypersensitivity to 4-aminoquinoline compounds.","CONTRAINDICATIONS SECTION"
